Date,Open,High,Low,Close,Volume,Market Cap
"Feb 11, 2017",988.9,1009.29,982.83,1004.45,102261000,15976700000
"Feb 10, 2017",995.63,998.9,946.69,988.67,190452000,16083600000
"Feb 09, 2017",1064.7,1088.99,953.34,994.38,407220000,17197100000
"Feb 08, 2017",1062.32,1078.97,1037.49,1063.07,201855000,17156700000
"Feb 07, 2017",1040.14,1061.93,1040.14,1061.35,146007000,16796600000
"Feb 06, 2017",1028.4,1044.64,1028.16,1038.15,111762000,16605400000
"Feb 05, 2017",1043.52,1043.63,1022.37,1027.34,114208000,16847400000
"Feb 04, 2017",1031.33,1045.9,1015.16,1042.9,155064000,16648800000
"Feb 03, 2017",1011.46,1033.87,1008.79,1029.91,201278000,16326100000
"Feb 02, 2017",990,1013.52,983.22,1011.8,145821000,15977800000
"Feb 01, 2017",970.94,989.11,970.74,989.02,150110000,15667900000
"Jan 31, 2017",920.96,972.02,920.96,970.4,164582000,14859700000
"Jan 30, 2017",920.15,923.05,919.47,920.38,78227300,14844900000
"Jan 29, 2017",922.07,923.42,919.15,919.5,60851700,14874000000
"Jan 28, 2017",919.81,923.91,919.81,921.59,68979600,14835800000
"Jan 27, 2017",918.36,923.22,915.85,919.75,125594000,14810400000
"Jan 26, 2017",902.39,919.33,902.22,917.59,131958000,14551200000
"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000,14380700000
"Jan 24, 2017",910.68,924.14,892.29,892.69,111349000,14681400000
"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600,14918800000
"Jan 22, 2017",922.21,937.52,897.56,924.67,116573000,14863600000
"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000,14432000000
"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400,14472100000
"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000,14311700000
"Jan 18, 2017",909.37,917.5,858.3,886.62,225677000,14648900000
"Jan 17, 2017",830.95,910.56,830.8,907.94,155095000,13383900000
"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200,13234600000
"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600,13174300000
"Jan 14, 2017",825.14,835.09,812.46,818.41,93063300,13285200000
"Jan 13, 2017",803.74,829,780,823.98,168968000,12939100000
"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000,12477600000
"Jan 11, 2017",908.12,919.45,762.76,777.76,310929000,14615700000
"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000,14522600000
"Jan 09, 2017",913.24,913.69,879.81,902.83,141877000,14694900000
"Jan 08, 2017",908.17,942.72,887.25,911.2,158715000,14611400000
"Jan 07, 2017",903.49,908.59,823.56,908.59,279550000,14534400000
"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000,16314100000
"Jan 05, 2017",1156.73,1191.1,910.42,1013.38,510199000,18604000000
"Jan 04, 2017",1044.4,1159.42,1044.4,1154.73,344946000,16795400000
"Jan 03, 2017",1021.6,1044.08,1021.6,1043.84,185168000,16426600000
"Jan 02, 2017",998.62,1031.39,996.7,1021.75,222185000,16055100000
"Jan 01, 2017",963.66,1003.08,958.7,998.33,147775000,15491200000
"Dec 31, 2016",960.63,963.74,947.24,963.74,99135100,15440700000
"Dec 30, 2016",972.53,972.53,934.83,961.24,187474000,15630200000
"Dec 29, 2016",975.13,979.4,954.5,973.5,199320000,15670000000
"Dec 28, 2016",934.83,975.92,934.83,975.92,236630000,15020500000
"Dec 27, 2016",908.35,940.05,904.25,933.2,167308000,14593300000
"Dec 26, 2016",896.9,913.18,896.9,907.61,123771000,14407800000
"Dec 25, 2016",899.65,899.65,862.42,896.18,143665000,14450100000
"Dec 24, 2016",922.18,923.48,886.34,898.82,137727000,14810300000
"Dec 23, 2016",864.89,925.12,864.68,921.98,275564000,13888600000
"Dec 22, 2016",834.18,875.78,834.15,864.54,200027000,13393800000
"Dec 21, 2016",800.64,834.28,799.4,834.28,155576000,12853700000
"Dec 20, 2016",792.25,801.34,791.5,800.88,99629300,12717600000
"Dec 19, 2016",790.69,793.61,790.32,792.71,74886400,12691100000
"Dec 18, 2016",791.01,794.74,788.03,790.53,60524400,12694800000
"Dec 17, 2016",785.17,792.51,784.86,790.83,78989800,12599600000
"Dec 16, 2016",778.96,785.03,778.96,784.91,83608200,12498800000
"Dec 15, 2016",780.07,781.43,777.8,778.09,81580100,12511700000
"Dec 14, 2016",780,782.03,776.84,781.48,75979000,12512900000
"Dec 13, 2016",780.65,788.46,777.96,780.56,81645600,12521500000
"Dec 12, 2016",770.04,781.92,770.04,780.09,76571000,12349800000
"Dec 11, 2016",774.75,774.8,765.41,769.73,57313400,12423600000
"Dec 10, 2016",773.02,777.09,772.91,774.65,53843100,12394500000
"Dec 09, 2016",769.94,774.53,769.65,772.79,68705300,12344000000
"Dec 08, 2016",768.08,774.7,765.95,770.81,80111900,12312500000
"Dec 07, 2016",764.21,771.54,759.75,768.13,96426100,12248900000
"Dec 06, 2016",758.72,765.62,758.72,764.22,116218000,12159400000
"Dec 05, 2016",773.39,773.47,751.71,758.7,106363000,12393100000
"Dec 04, 2016",771.64,773.87,768.16,773.87,60557900,12363600000
"Dec 03, 2016",778.25,778.25,764.86,771.15,69547300,12467800000
"Dec 02, 2016",757.54,781.3,757.54,777.94,127605000,12134800000
"Dec 01, 2016",746.05,758.27,746.05,756.77,80461900,11949200000
"Nov 30, 2016",736.28,747.93,736.26,745.69,84070800,11791600000
"Nov 29, 2016",736.33,737.47,734.56,735.6,68511100,11790900000
"Nov 28, 2016",732.48,738.01,732.48,735.81,61888600,11727800000
"Nov 27, 2016",735.44,739.02,731.09,732.03,52601800,11773800000
"Nov 26, 2016",741.51,742.21,729.63,735.38,54962700,11869600000
"Nov 25, 2016",740.44,741.65,734.59,741.65,67807600,11851100000
"Nov 24, 2016",744.62,746.83,733.49,740.29,85919300,11916500000
"Nov 23, 2016",751.74,752.25,738.92,744.59,76543800,12029000000
"Nov 22, 2016",739.64,753.87,736.53,751.35,129906000,11834200000
"Nov 21, 2016",731.26,741.72,730.51,739.25,60802400,11698900000
"Nov 20, 2016",751.88,755.48,717.94,731.03,154116000,12027500000
"Nov 19, 2016",751.83,756.24,744.47,751.62,110608000,12025400000
"Nov 18, 2016",740.71,752.88,736.89,751.59,87363100,11846000000
"Nov 17, 2016",744.88,755.64,739.51,740.98,108579000,11911300000
"Nov 16, 2016",711.17,747.62,709.04,744.2,141294000,11370700000
"Nov 15, 2016",705.79,715.72,705.26,711.62,72038500,11283400000
"Nov 14, 2016",702,706.28,699.81,705.02,62993000,11214600000
"Nov 13, 2016",705.2,705.26,687.32,702.03,80318100,11264500000
"Nov 12, 2016",716.75,717.15,704.03,705.05,64622500,11447700000
"Nov 11, 2016",715.55,718.32,714.41,716.41,63119700,11427200000
"Nov 10, 2016",722.84,723.02,711.21,715.53,68807800,11542100000
"Nov 09, 2016",709.83,740.05,708.61,723.27,132429000,11333000000
"Nov 08, 2016",703.09,712.99,702.39,709.85,79660800,11224000000
"Nov 07, 2016",710.74,710.74,699.9,703.13,65047100,11344800000
"Nov 06, 2016",703.81,714.26,699.56,711.52,59902200,11233000000
"Nov 05, 2016",703.52,707.51,697.74,703.42,53752300,11227200000
"Nov 04, 2016",689.12,706.93,685.56,703.24,99907700,10996400000
"Nov 03, 2016",742.35,745.77,678.16,688.7,172808000,11844300000
"Nov 02, 2016",730.07,740.83,722.35,740.83,84865200,11647200000
"Nov 01, 2016",701.34,736.45,701.34,729.79,130527000,11187700000
"Oct 31, 2016",702.64,709.29,691.68,700.97,97064400,11207200000
"Oct 30, 2016",714.12,714.12,696.48,701.86,100665000,11388800000
"Oct 29, 2016",690.29,720.4,690.05,714.48,134761000,11007600000
"Oct 28, 2016",688,690.44,684.16,689.65,81145500,10969800000
"Oct 27, 2016",678.21,688.59,678.04,688.31,96105300,10812500000
"Oct 26, 2016",657.68,679.73,657.68,678.3,88877100,10484000000
"Oct 25, 2016",654,664.42,653.7,657.59,90378800,10424300000
"Oct 24, 2016",657.16,657.25,652.6,653.76,62218200,10473500000
"Oct 23, 2016",657.62,661.13,653.89,657.07,54474600,10479700000
